index,nearest_x,nearest_y,station_id,x,y,docks_num,destinatio,distance,finance,food_drink,hospital,residence,leisure,shopping,school,population,bus_stop,tube_num,deg_mopeak,deg_nipeak,ride_len,egi_mopeak,egi_nipeak,finance1,leisure1,residence1,restaurant,university,shopping1,tube_acce
"Russell Square Station, Bloomsbury",530229.5111,182164.8474,74,530229.5111,182164.8474,26,0.0075323,200,0.00001,2,0.00001,0.00001,2,1,1,2260.71493,5,1,0.109589041,0.300124533,26.5191,0.047344293,0.051788093,0.00001,0.00001,0.00001,0.00001,1,1,1.14598
"Sadlers Sports Centre, Finsbury",531946.7881,182374.535,75,531946.7881,182374.535,17,0.0038289,200,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,2528.00937,6,0.00001,0.109589041,0.229140722,0.00001,0.040883388,0.038270888,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.0733
"Arundel Street, Temple",530978.226,180884.2681,76,530978.226,180884.2681,18,0.0052352,200,1,6,0.00001,5,14,1,0.00001,139.75046,8,1,0.05977584,0.134495641,2.35484,0.03134037,0.016580354,1,1,0.00001,1,0.00001,0.00001,0.21474
"Webber Street , Southwark",531831.2798,179689.4715,77,531831.2798,179689.4715,45,0.011123,200,0.00001,4,0.00001,0.00001,0.00001,2,1,1619.41523,0,0.00001,0.120797011,0.200498132,5.06997,0.034258409,0.038327688,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.23199
"Great Titchfield Street, Fitzrovia",529048.4651,181784.1141,78,529048.4651,181784.1141,19,0.0052239,200,0.00001,9,0.00001,0.00001,3,2,0.00001,2760.02188,1,0.00001,0.097135741,0.224159402,11.28522,0.044610858,0.026488188,0.00001,0.00001,0.00001,5,0.00001,1,0.10713
"Chancery Lane, Holborn",531159.1511,181174.5792,79,531159.1511,181174.5792,15,0.0047916,200,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,166.48667,3,0.00001,0.07596513,0.166874221,33.18609,0.046277062,0.025525359,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.13411
"Panton Street, West End",529765.4557,180618.7518,80,529765.4557,180618.7518,21,0.0066685,200,0.00001,46,0.00001,4,14,9,0.00001,282.52958,7,0.00001,0.115815691,0.374844333,0.00001,0.048512876,0.060772348,0.00001,6,2,31,0.00001,5,0.16911
"Breams Buildings, Holborn",531115.1264,181354.9771,81,531115.1264,181354.9771,25,0.0081567,200,0.00001,19,3,1,3,2,0.00001,210.92665,0,0.00001,0.103362391,0.226650062,33.18609,0.056191313,0.020005351,0.00001,0.00001,0.00001,6,0.00001,1,0.11469
"Tanner Street, Bermondsey",533463.089,179724.5085,82,533463.089,179724.5085,41,0.0057518,200,0.00001,9,0.00001,1,3,3,0.00001,1853.32412,6,0.00001,0.136986301,0.242839352,9.41092,0.026430099,0.043484656,0.00001,1,1,4,0.00001,0.00001,0.13771
"Sancroft Street, Vauxhall",530957.2162,178412.7707,83,530957.2162,178412.7707,24,0.004366,200,0.00001,1,0.00001,0.00001,1,0.00001,0.00001,2722.77084,2,0.00001,0.05105853,0.107098381,12.84108,0.008562126,0.024824211,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.16356
