index,nearest_x,nearest_y,station_id,x,y,centrality,centrali_1,docks_num
"St. John's Park, Cubitt Town",538269.721704057999887,179379.470930782001233,465.000000000000000,538269.721704057999887,179379.470930782001233,0.002741777206290,0.027397260273973,"30"
"Ackroyd Drive, Bow",536996.459041113033891,182006.513730103004491,466.000000000000000,536996.459041113033891,182006.513730103004491,0.004069755712105,0.068493150684932,"29"
"Bell Lane, Liverpool Street",533599.351768122985959,181592.354143664008006,467.000000000000000,533599.351768122985959,181592.354143664008006,0.043397243128022,0.124533001245330,"23"
"Clarkson Street, Bethnal Green",534730.856603675056249,182878.609930756007088,468.000000000000000,534730.856603675056249,182878.609930756007088,0.005098888141615,0.049813200498132,"31"
"Fournier Street, Whitechapel",533692.058649859973229,181806.134078520000912,469.000000000000000,533692.058649859973229,181806.134078520000912,0.028019831593030,0.094645080946451,"18"
"Fore Street, Guildhall",532615.210756035987288,181608.484600230993237,470.000000000000000,532615.210756035987288,181608.484600230993237,0.058129100386214,0.112079701120797,"19"
"Westferry DLR, Limehouse",537085.522710543009453,180777.351797223993344,471.000000000000000,537085.522710543009453,180777.351797223993344,0.014868767265731,0.089663760896638,"41"
"Sutton Street, Shadwell",535159.381261880975217,180923.460162711999146,472.000000000000000,535159.381261880975217,180923.460162711999146,0.009034405289774,0.080946450809465,"33"
"Pritchard's Road, Bethnal Green",534569.238735188031569,183248.835434315988095,473.000000000000000,534569.238735188031569,183248.835434315988095,0.028098456777850,0.164383561643836,"30"
"Watney Market, Stepney",535015.069832582026720,181282.480905787990196,474.000000000000000,535015.069832582026720,181282.480905787990196,0.003397269400850,0.038605230386052,"51"
"Portman Square, Marylebone",528077.479524601949379,181312.904144205997000,475.000000000000000,528077.479524601949379,181312.904144205997000,0.045631191991233,0.128268991282690,"17"
"Russell Gardens, Olympia",524253.182324527006131,179419.557104704988888,476.000000000000000,524253.182324527006131,179419.557104704988888,0.004718875486403,0.048567870485679,"24"
"Chrisp Street Market, Poplar",537881.992136679007672,181011.238943500997266,477.000000000000000,537881.992136679007672,181011.238943500997266,0.002246192870589,0.031133250311333,"18"
"Ford Road, Old Ford",536524.424074604990892,183341.655336291005369,478.000000000000000,536524.424074604990892,183341.655336291005369,0.008965567176357,0.078455790784558,"18"
"Antill Road, Mile End",536235.905088686035015,182855.992835838987958,479.000000000000000,536235.905088686035015,182855.992835838987958,0.004584629374555,0.069738480697385,"30"
"Teviot Street, Poplar",538058.670087837963365,181862.176992369000800,480.000000000000000,538058.670087837963365,181862.176992369000800,0.000336163537004,0.012453300124533,"33"
"Bancroft Road, Bethnal Green",535565.659416805021465,182594.084554608998587,481.000000000000000,535565.659416805021465,182594.084554608998587,0.006850450721332,0.084682440846824,"21"
"Driffield Road, Old Ford",536220.385019673034549,183516.592324346012902,482.000000000000000,536220.385019673034549,183516.592324346012902,0.004375960971448,0.102117061021171,"19"
"Clinton Road, Mile End",536341.433420351007953,182607.647407657001168,483.000000000000000,536341.433420351007953,182607.647407657001168,0.005877208734224,0.063511830635118,"36"
"Langdon Park, Poplar",537936.612780484952964,181487.284148706006818,484.000000000000000,537936.612780484952964,181487.284148706006818,0.000147698766544,0.014943960149440,"24"
"Lancaster Gate , Bayswater",526415.490626452025026,180763.572516943007940,485.000000000000000,526415.490626452025026,180763.572516943007940,0.004100639854411,0.102117061021171,"38"
"Blythe Road, Olympia",524107.970646599016618,179069.525756780989468,486.000000000000000,524107.970646599016618,179069.525756780989468,0.001871749842162,0.047322540473225,"24"
"Lancaster Drive, Blackwall",538313.886314130038954,180123.046027625998249,487.000000000000000,538313.886314130038954,180123.046027625998249,0.002296208610651,0.021170610211706,"27"
"Hansard Mews, Holland Park",523929.819870917010121,179826.908214375987882,488.000000000000000,523929.819870917010121,179826.908214375987882,0.004607381047805,0.051058530510585,"20"
"Clarges Street, Mayfair",528776.748310668976046,180340.309619294013828,489.000000000000000,528776.748310668976046,180340.309619294013828,0.033666859467379,0.090909090909091,"16"
"Manresa Road, Chelsea",527089.610021851025522,178024.938723444007337,490.000000000000000,527089.610021851025522,178024.938723444007337,0.019880222634039,0.094645080946451,"18"
"Newby Place, Poplar",538029.345304923946969,180753.748794715997064,491.000000000000000,538029.345304923946969,180753.748794715997064,0.001714029113204,0.027397260273973,"18"
"Twig Folly Bridge, Mile End",535864.870585088967346,183075.499055830005091,492.000000000000000,535864.870585088967346,183075.499055830005091,0.012637256181084,0.115815691158157,"21"
"Jubilee Plaza, Canary Wharf",537502.181565155973658,180128.018881889991462,493.000000000000000,537502.181565155973658,180128.018881889991462,0.052431269365913,0.120797011207970,"63"
"Wellington Row, Bethnal Green",533994.931043933960609,182798.343200909992447,494.000000000000000,533994.931043933960609,182798.343200909992447,0.010963124330636,0.087173100871731,"33"
"Goldsmith's Row, Haggerston",534246.989092490985058,183209.773067086003721,495.000000000000000,534246.989092490985058,183209.773067086003721,0.013020818978403,0.094645080946451,"27"
"Gloucester Avenue, Camden Town",528595.671452019014396,183668.569605884986231,496.000000000000000,528595.671452019014396,183668.569605884986231,0.004908218639616,0.067247820672478,"24"
"Queensbridge Road, Haggerston",533962.259256773977540,183425.183751253003720,497.000000000000000,533962.259256773977540,183425.183751253003720,0.004341637202795,0.061021170610212,"35"
"Old Montague Street, Whitechapel",534152.772345453966409,181654.716297620005207,498.000000000000000,534152.772345453966409,181654.716297620005207,0.019987363741716,0.089663760896638,"18"
