index,finance,leisure,residence,restaurant,shopping,university
"Ford Road, Old Ford",0.00001,1,0.00001,2,10,0.00001
"Fore Street Avenue, Guildhall",0.00001,5,3,3,0.00001,0.00001
"Fore Street, Guildhall",1,2,0.00001,0.00001,0.00001,1
"Fournier Street, Whitechapel",1,1,0.00001,0.00001,1,0.00001
"Frampton Street, Paddington",0.00001,2,0.00001,5,9,0.00001
"Freston Road, Avondale",0.00001,0.00001,0.00001,0.00001,2,0.00001
"Frith Street, Soho",3,12,15,37,10,0.00001
"Fulham Broadway, Walham Green",0.00001,1,0.00001,0.00001,0.00001,0.00001
"Fulham Park Road, Fulham",2,1,0.00001,1,1,0.00001
"Furze Green, Bow",0.00001,0.00001,0.00001,0.00001,2,0.00001
"Garnet Street, Shadwell",0.00001,1,0.00001,0.00001,1,0.00001
"Gas Holders, Battersea Park",0.00001,2,1,1,6,0.00001
"Gascoyne Road, Victoria Park",0.00001,2,0.00001,0.00001,0.00001,0.00001
"Gauden Road, Clapham",0.00001,5,0.00001,4,8,0.00001
"Gaywood  Street, Elephant & Castle",0.00001,1,0.00001,0.00001,2,0.00001
"George Place Mews, Marylebone",0.00001,2,4,4,5,0.00001
"George Row, Bermondsey",0.00001,0.00001,1,2,1,0.00001
"George Street, Marylebone",3,5,6,7,17,0.00001
"Geraldine Street, Elephant & Castle",0.00001,2,3,0.00001,0.00001,0.00001
"Globe Town Market, Bethnal Green",4,1,0.00001,1,3,0.00001
"Gloucester Avenue, Camden Town",0.00001,3,2,1,0.00001,0.00001
"Gloucester Road (Central), South Kensington",0.00001,0.00001,2,4,7,0.00001
"Gloucester Road (North), Kensington",0.00001,4,2,7,7,0.00001
"Gloucester Road Station, South Kensington",1,0.00001,2,10,4,0.00001
"Gloucester Street, Pimlico",1,3,12,2,4,0.00001
"Gloucester Terrace, Bayswater",0.00001,1,0.00001,2,1,0.00001
"Godliman Street, St. Paul's",1,7,6,5,4,0.00001
"Golden Lane, Barbican",2,1,1,2,4,0.00001
"Golden Square, Soho",2,8,9,48,25,0.00001
"Goldsmith's Row, Haggerston",0.00001,1,0.00001,1,2,0.00001
"Good's Way, King's Cross",0.00001,6,0.00001,11,21,0.00001
"Goswell Road (City Uni), Finsbury",0.00001,0.00001,0.00001,0.00001,1,0.00001
"Gower Place , Euston",1,1,2,0.00001,1,0.00001
"Grafton Street, Mayfair",0.00001,0.00001,0.00001,3,2,0.00001
"Graham Street, Angel",0.00001,2,0.00001,0.00001,0.00001,0.00001
"Granby Street, Shoreditch",0.00001,1,0.00001,5,4,0.00001
"Grant Road East, Clapham Junction",0.00001,1,0.00001,0.00001,1,0.00001
"Great Dover Street, The Borough",0.00001,1,1,0.00001,2,0.00001
"Great Percy Street, Clerkenwell",1,0.00001,4,3,2,0.00001
"Great Russell Street, Bloomsbury",0.00001,1,2,1,0.00001,1
"Great Suffolk Street, The Borough",0.00001,5,1,2,2,1
